iter	RMSE
0	322094.5276
1	309479.6283
2	297650.0939
3	286489.2199
4	276212.0828
5	266512.3794
6	257449.5635
7	248830.7244
8	240623.467
9	232833.4528
10	225497.1621
11	218677.3916
12	212342.8442
13	206441.529
14	201044.3611
15	195868.9639
16	191040.191
17	186471.1948
18	182115.6253
19	178306.6554
20	174597.6404
21	171128.9246
22	167868.614
23	164816.363
24	162013.1713
25	159391.8809
26	156660.0425
27	154116.4063
28	151802.417
29	149521.3261
30	147598.8612
31	145828.5872
32	144065.8094
33	142361.845
34	140663.0146
35	139244.0804
36	137782.8562
37	136440.9309
38	135093.6626
39	133971.5492
40	132941.1922
41	131958.0099
42	130955.2694
43	129965.2718
44	128991.7888
45	128163.3029
46	127374.8929
47	126584.2675
48	125892.0984
49	125318.9753
50	124694.9358
51	124180.1192
52	123675.2975
53	123065.5046
54	122498.926
55	121892.834
56	121357.5184
57	120934.8727
58	120567.495
59	120227.5897
60	119871.7093
61	119559.8152
62	119081.5084
63	118778.1136
64	118544.5698
65	118140.7401
66	117794.4341
67	117383.8314
68	117138.1456
69	116863.2409
70	116536.4692
71	116370.3585
72	116123.4412
73	115849.2668
74	115646.894
75	115477.4445
76	115271.3798
77	115037.0943
78	114818.8089
79	114659.702
80	114402.8052
81	114132.7989
82	113950.975
83	113774.9953
84	113473.377
85	113268.2397
86	113082.6949
87	112967.5932
88	112822.0736
89	112656.0978
90	112536.0378
91	112355.6127
92	112229.3807
93	112132.1357
94	111903.0205
95	111801.9351
96	111698.7385
97	111567.527
98	111395.9427
99	111278.3655
100	111143.4128
101	110960.1821
102	110868.7774
103	110749.8174
104	110628.8488
105	110438.8815
106	110304.3451
107	110209.0398
108	110094.176
109	110004.3358
110	109898.4791
111	109833.1266
112	109759.9225
113	109645.1503
114	109546.1057
115	109449.7524
116	109378.9119
117	109218.7432
118	109153.9188
119	109096.0517
120	109012.625
121	108963.5007
122	108873.4082
123	108783.5938
124	108640.4608
125	108586.0561
126	108512.9509
127	108390.1096
128	108307.2786
129	108148.0709
130	108097.502
131	108011.733
132	107957.9552
133	107880.3437
134	107755.1696
135	107640.943
136	107598.1858
137	107533.7286
138	107480.8146
139	107426.7071
140	107371.3581
141	107319.7056
142	107251.6105
143	107207.9685
144	107133.6052
145	107061.9342
146	107004.6551
147	106934.4839
148	106858.3624
149	106794.9695
150	106771.1549
151	106707.0813
152	106664.8674
153	106562.0247
154	106487.9768
155	106438.299
156	106359.777
157	106308.8838
158	106286.7439
159	106222.3239
160	106145.3211
161	106091.2841
162	105997.4259
163	105950.028
164	105933.7173
165	105839.3346
166	105797.0458
167	105694.052
168	105643.4745
169	105617.9194
170	105588.5652
171	105501.6727
172	105432.3542
173	105396.1124
174	105376.1745
175	105323.0636
176	105302.7367
177	105253.4857
178	105223.5884
179	105160.5985
180	105082.8477
181	105003.6956
182	104964.8529
183	104918.9983
184	104909.6934
185	104865.6042
186	104818.9925
187	104784.4112
188	104694.5208
189	104630.5664
190	104599.6091
191	104539.7763
192	104495.7032
193	104450.5795
194	104408.1514
195	104361.962
196	104336.6504
197	104292.0425
198	104223.7625
199	104196.2953
200	104152.9908
201	104105.0633
202	104062.9434
203	103974.5282
204	103931.2611
205	103894.9126
206	103864.6861
207	103841.6322
208	103776.4703
209	103739.0483
210	103697.3699
211	103682.1274
212	103630.8514
213	103558.4073
214	103480.2268
215	103424.6828
216	103403.5659
217	103359.6204
218	103303.3477
219	103277.8744
220	103246.5856
221	103227.409
222	103174.3591
223	103143.0852
224	103100.6032
225	103083.7834
226	103049.8173
227	102980.7217
228	102935.6432
229	102896.533
230	102849.8492
231	102836.6271
232	102819.0066
233	102805.4101
234	102752.9458
235	102714.5949
236	102698.2665
237	102648.1038
238	102633.6876
239	102610.7439
240	102569.442
241	102546.082
242	102518.7038
243	102474.7952
244	102458.7449
245	102433.6238
