iter	Passed	Remaining
0	3	3038
1	6	3011
2	9	3028
3	12	2996
4	14	2980
5	18	3020
6	21	3017
7	24	3032
8	27	3026
9	30	3000
10	33	3011
11	36	3003
12	39	2991
13	42	2985
14	45	2977
15	48	2977
16	51	2964
17	54	2961
18	57	2968
19	60	2984
20	63	2981
21	67	3021
22	71	3021
23	74	3023
24	77	3022
25	80	3030
26	83	3023
27	86	3016
28	90	3018
29	93	3013
30	96	3005
31	99	2999
32	102	2996
33	105	2994
34	108	2995
35	112	2999
36	115	3006
37	118	3009
38	122	3011
39	125	3008
40	128	3007
41	132	3013
42	135	3008
43	138	3015
44	141	3013
45	145	3007
46	148	3003
47	151	2997
48	154	2994
49	157	2995
50	160	2989
51	164	2992
52	167	2992
53	170	2990
54	174	2992
55	177	2994
56	181	2997
57	184	2994
58	187	2992
59	190	2992
60	194	2995
61	197	2993
62	201	2992
63	204	2991
64	207	2985
65	211	2987
66	214	2992
67	218	2994
68	222	2996
69	225	2992
70	228	2990
71	231	2985
72	234	2983
73	238	2980
74	241	2976
75	244	2971
76	247	2969
77	250	2964
78	254	2969
79	258	2967
80	261	2966
81	264	2961
82	268	2965
83	271	2961
84	275	2962
85	279	2968
86	282	2969
87	286	2968
88	289	2965
89	293	2964
90	296	2961
91	299	2956
92	302	2954
93	306	2950
94	309	2948
95	312	2945
96	316	2947
97	319	2944
98	323	2945
99	327	2947
100	330	2943
101	334	2943
102	337	2939
103	340	2936
104	344	2932
105	347	2928
106	350	2929
107	354	2929
108	358	2932
109	362	2931
110	366	2931
111	369	2929
112	372	2927
113	376	2924
114	379	2921
115	383	2920
116	386	2917
117	390	2918
118	393	2916
119	397	2914
120	400	2910
121	403	2906
122	407	2907
123	411	2907
124	414	2904
125	418	2901
126	421	2898
127	425	2896
128	428	2894
129	432	2894
130	435	2891
131	439	2888
132	442	2883
133	445	2880
134	449	2878
135	452	2875
136	456	2872
137	459	2869
138	463	2868
139	466	2867
140	470	2864
141	473	2861
142	477	2860
143	481	2863
144	486	2866
145	490	2866
146	493	2863
147	496	2860
148	500	2857
149	503	2853
150	507	2856
151	511	2855
152	515	2853
153	518	2848
154	522	2846
155	525	2843
156	529	2842
157	532	2839
158	535	2835
159	539	2832
160	542	2829
161	546	2826
162	550	2824
163	554	2824
164	557	2822
165	561	2818
166	564	2816
167	568	2813
168	571	2810
169	574	2807
170	578	2805
171	582	2802
172	585	2800
173	589	2797
174	592	2793
175	596	2792
176	600	2790
177	604	2791
178	607	2788
179	611	2786
180	615	2782
181	618	2780
182	622	2779
183	626	2776
184	629	2773
185	633	2770
186	636	2767
187	639	2763
188	643	2760
189	647	2759
190	650	2756
191	654	2753
192	657	2750
193	661	2749
194	665	2748
195	669	2744
196	672	2740
197	675	2737
198	679	2736
199	684	2738
200	687	2734
201	691	2732
202	695	2729
203	699	2727
204	702	2725
205	706	2724
206	710	2721
207	713	2717
208	717	2715
209	720	2711
210	724	2709
211	727	2705
212	731	2702
213	734	2699
214	738	2696
215	742	2693
216	745	2691
217	749	2688
218	753	2686
219	756	2683
220	760	2680
221	763	2677
222	767	2673
223	770	2670
224	774	2668
225	778	2665
226	781	2662
227	785	2658
228	789	2656
229	792	2652
230	795	2649
231	799	2647
232	803	2645
233	807	2642
234	810	2639
235	814	2636
236	817	2633
237	821	2630
238	824	2626
239	828	2623
240	831	2619
